speaker_id,line_num,line_str
202,9,Start. Are we?
202,10,I didn't have our science.
202,11,"Hi, will and Nina. Hi. Can you tell me, can you raise your hand and tell me, um, what type of classroom expectations you've had in the past will, have you had any classroom expectations in the past? Maybe some rules that teachers have gone over with you in the past? Um,"
202,12,"Yeah,"
202,13,"I mean, we, uh, we can raise your hand and stuff."
202,14,"Yeah. Does anybody else have any ideas of, um, what they would like to see as our classroom expectations for this year?"
202,15,Text Carlo. Hi mom. It's my mom. Text.
202,16,"One of the classroom rules that I would like to see from you guys is respecting others, and that can mean active listening. So as teachers are talking, um, I'd like to make sure that we're all active. Listen, like Jayla a great job."
202,17,"I wanted to get, cause we, um, I remember all the, from last year and I can give you a whole list of everything. Mm-hmm."
202,18,"<affirmative>, do you have one that you specifically guys"
202,19,"And, um, come to class?"
202,20,"Yeah,"
202,21,"I mean, I can give you the whole list. Do you want the"
202,22,"Whole list? That's okay right now. I like that one. So another one coming to class prepared. So coming to class prepared and making sure that you, um, are ready to learn and are showing respect to your classmates. Um, and then another one that I also like, um, is to make sure that we are, um, listening to our classmates as they're sharing their experiences or sharing their, um, their work with you and making sure that we're not, um, talking over the teacher as your Mina. What were some of my classroom rules?"
202,23,"I think you said like, um, I don't remember. I'm"
202,24,"Talking to her. I know. So that's gonna be one of the, as well too, is making sure that we're listening to the teacher, um, eyes are on the teacher. That's part of our respect. Um, respecting the teacher and making sure that we're listening when, um, others are talking. So that's not even just me as a teacher, but also"
202,25,We're gonna talk about the science fair. I really wanna present my topic to you. I wanna make sure it's okay. So I can you start on
202,26,"Carlos? We can, we can do that later for sure, but right now we're going over just some classroom expectations."
202,27,Right? Okay. But I wanna talk about my topic.
202,28,"We can do that later. Carlos does, does that work for you? Okay. We'll do it after this. Okay. Okay. So we had respecting others, listening to others, and then, um, making sure that we're coming to class prepared. Um, does anybody have any other classroom expectations that they'd like to add to that list? Yes. Mina, thank you for raising your hand. Be kind. Is that what you're saying? Yeah. I really do like that one as well too. Um, that can also go under respecting others. So we're respecting others by being kind and listening. This"
202,29,Is boring. Why are we doing this?
202,30,"And then also making sure that we're not, um, we're not talking out loud when the teacher is talking. Jayla, do you think that that is a respectful behavior to make to say that, um, that this is kind boring"
202,31,About my science fair picture? I'm gonna tell the principal
202,32,That project you
202,33,"Nina, eyes up here."
202,34,Oh my gosh.
202,35,Shell
202,36,Not be quiet. And she keeps bothering my science fair.
202,37,"I know. I'm, that's a really"
202,38,Good topic for him. And he'll
202,39,"Listen, <laugh>. I know, but right now we're not talking about our science fair projects. We'll talk about our science fair projects later. Okay. Right now we, right now we're doing our classroom expectations and we've got our three classroom rules. Um, so making sure that we are creating that positive environment, um, that's what I'd like to, to do here. So let's all, uh, make sure that we're listening. So we're doing our active listening. So what are some good examples of active list? Okay. And."
203,0,And start simulation.
203,1,"Hello, class. So today we're gonna be going over our, um, three rules for our class, our three expectations for our class today."
203,2,"I like, thank you"
203,3,"So much. It's new. All right, so let's go to our first expectation. Our first expectation is being respectful. So I wanted to ask you guys, what does that look like? What does being respectful look like in our classroom? Does anybody have any idea?"
203,4,Looks like this
203,5,"Looks like this. Well, listening. Yeah. Being respectful. Being part of being respectful is listening. Right? What else does being respectful look like or sound like?"
203,6,"Um,"
203,7,Anybody have any a ideas?
203,8,Quiet.
203,9,"Quiet. Sometimes it's being quiet. Other times it's participating in giving your voice, right? Well,"
203,10,"I think that, um, you better start working on your, you. Well, I mean, I well, you"
203,11,"Can we guys, can we finish this conversation after class? Maybe? Thank you. Well, that was a very respectful way to tell Meina to pay attention. I like that. All right, so, so being respectful, who are we being respectful towards? Anybody have any ideas?"
203,12,"Oh no. Oh, I got a text."
203,13,"We got a text. We shouldn't have your phone with you. That's not part of being respectful, right?"
203,14,"Yeah. Oh, um, yeah, it was my"
203,15,"Mom. Oh, sorry. Oh, it's okay. So Emily, what is, um, who should we be respectful towards? Who are people that we should be respectful towards?"
203,16,"Um, our"
203,17,"Classmates. Our classmates, right? Who else?"
203,18,"Oh, I have a lot of I ideas about classroom norms. I can give you a whole list from last chair if you wanted. Teacher, um, do you want me to start listing them for you? Um, I know"
203,19,"My heart. Let's just keep going with our classroom norms that we have said already. So number two, let's move on. Number two, our second classroom norm is try your hardest. What does that mean? What does that look like? Anybody have any idea of what trying your hardest looks like? Jayla, thank you for raising your hand."
203,20,"Uh, it means, um, I'm doing all the work that you're asked to do and even if you don't wanna,"
203,21,Sometimes it looks like that. What else does trying your hardest look like? Anybody have any idea?
203,22,Stop talking to me about this. Shut up. I have a really good topic for you. Nina will
203,23,Have
203,24,Time with clients.
203,25,They'll shut
203,26,Up. Nina
203,27,Will. Was there a nicer way to ask Nina to be quiet? Maybe.
203,28,I
203,29,Dunno. She more respectful.
203,30,Love about
203,31,This.
203,32,She's nagging me about my science project. She's trying to help.
203,33,"I understand that's frustrating. Will, but there's also more respectful way you can tell somebody to stop talking to you. What do you think that is? What's a spec respectful way to do"
203,34,That? Just ignore her.
203,35,"Ignore her. Maybe. I don't know if that would work. Maybe just asking her to be quiet and then if that doesn't work, maybe asking me to help. What about that?"
203,36,"Please be quiet. Mina. Yeah. Yeah, that would"
203,37,"Work. I like that. Alright, so try"
203,38,The science fair. I'd like to my topic with you teacher. Can we talk about the science fair
203,39,"Now? You know, it would be a great time to do that at recess. How about that, Carlos?"
203,40,"Oh, okay. All right. I have a good topic. I wanna make sure you"
203,41,"Have program. Okay, we'll talk about it at recess. All right. So trying your hardest. I have a question for you guys. Does trying your hardest look the same for everybody? Mm-hmm. <affirmative>? No. That's right. So it's kind of dependent on who you are as a person, right? So trying your hardest could look like you're talking a lot and you're interjecting into the discussion. But for some people, that's really hard for them. And maybe saying one thing is trying their hardest in the discussion, right?"
203,42,"Right,"
203,43,"Right. All right, so let's move on to our third, um, expectation. Our third expectation is being responsible. What is being responsible? Oh"
203,44,My gosh. Why are we doing this? This is so boring.
203,45,"Well, we wanna come over our class expectations multiple times throughout the year so you guys are aware of them. And so we can maybe update them and we think that they're not working. So being responsible is our third expectation. So what does that mean for you guys? What does that mean for you, Jayla? Being responsible."
203,46,"Um, doing what you say to do. Everybody else has to do it too. Anybody? Same page."
203,47,Does anybody have any other ideas of what being responsible means? Do you guys agree with Jayla?
203,48,"If you do not stop talking. I'm gonna take this to teacher. Well, science there for the last time. Shut up."
203,49,"Okay. Well, remember when we talked about being respectful and our first expectation?"
203,50,Okay. What about her being respectful of
203,51,"Me? Well, part of being respectful also is not talking when other people are talking, right? Nina? Yeah. Yeah. That's kind disrespectful. Thank you for apologizing. All right, so being responsible. What do you guys, what else do you guys think being responsible means?"
203,52,"Um, bringing your homework."
203,53,Great. That's one way to be responsible and.
204,0,And start simulation.
204,1,Hi class. My name is Clarissa.
204,2,Hey Clarissa.
204,3,Hello. How are you all doing today?
204,4,Good.
204,5,"Good, good. Okay. So first we are going to review some expectations today. Can anyone remind me of an expectation we have for our classroom?"
204,6,I got
204,7,"One. Yeah, Jayla, go ahead."
204,8,Gotta raise your hand before you talk.
204,9,Gotta raise your hand before you talk. That's a great one. I appreciate that. You just exemplified that right now. When you were thinking of something to say and raised your hand first everyone show me what it looks like to raise your hand.
204,10,"Okay. So if you wanna,"
204,11,"Hey,"
204,12,"I'll, yeah,"
204,13,Can you show me what it looks like? Raise. Raise
204,14,Your hand. Hi.
204,15,What's that?
204,16,Can you think of an expectation we have for our class?
204,17,We're talking when the teacher's
204,18,Talking. That's a good one. Will do you remember that one also?
204,19,"Oh,"
204,20,I appreciate that Carlos has been sitting silently this whole time while we've been talking. So you're right. We have raise your hand when you'd like to talk
204,21,Text.
204,22,"Emily, do you have an idea of a one more, um, expectation we have."
204,23,"Oh, I can tell you all the norms for, um, the whole year teacher. Cause I remember our list from last year. Do you want me to go through them? Um, it was, yeah,"
204,24,Let's see if Emily has an idea and maybe she can phone a friend if she can't think of
204,25,Anything.
204,26,How prepared for class.
204,27,"That is an awesome one. So we have raise your hand when you'd like to speak. Don't talk when the teacher's talking and come prepared for class. Those are awesome. Carlos, did you have anything you wanted to add to that?"
204,28,Okay.
204,29,Excuse me. Mi
204,30,"No, you shut up. I'm so tired of"
204,31,Him. Will and Mina eyes on me please.
204,32,Trying help.
204,33,"Geez,"
204,34,"Mina and will help eyes on me. So will, I appreciate that you're trying to pay attention, but I don't like the way you talk to Mina right now. Oh, and Mina,"
204,35,You should be talking to me.
204,36,You're right. Mina. Let's remember that the expectation we just talked about. Not talking while the teacher's talking.
204,37,Okay. Sorry.
204,38,"That's okay. Thank you very much. All right. So that was a good review. Does anyone wanna show me, um, with their hand in the air?"
204,39,"So I wanna make sure that my science project is okay. So, um, can I present my topic to you right now so I can get going on? Got it. Recess?"
204,40,"Yeah, we just talked about how we wanna raise our hand when we have something to say. So I'm wondering what you all did this weekend, but if you'd like to share, I'd like you to show me what we just talked about and it raise your hand if you'd like to speak. Does anyone wanna share what they did this weekend? No. Will go ahead."
204,41,"Yeah, I watched Sam the basketball game on TV with my dad."
204,42,That sounds very fun. Thank you for raising your hand. Anybody else? Nina?
204,43,"Um, I worked on fair project."
204,44,You worked on your science fair project.
204,45,This is boring. Why are we doing this?
204,46,Jayla?
204,47,Yeah.
204,48,"I'm gonna remind you of one more expectation that we didn't talk about, which is to show respect to our classmates. So how about we listen to Mina right now and we'll move on in just a little bit. All that's okay. Thank you very much. Mina, what's your project about? Well, um,"
204,49,"Hey. Ok, so if you don't you be talking to the teacher right now. Not me. I just write down You'll this weekend. I did not watch you at my house. Do not come to my house."
204,50,Will tired
204,51,"Of you talking to me about this? Well,"
204,52,"I mean, just stop Nina eyes on me please. I would like you to,"
204,53,I'm Oh
204,54,"My gosh, I appreciate that you're wanting to help. Will, but I don't think Will wants help right now, so I'd like you to please stop talking to Will."
204,55,Okay. Teacher.
204,56,"Thank you. And, and simulation."
205,0,And start simulation.
205,1,"Okay. Hey guys. Um,"
205,2,Hey teacher.
205,3,How are you guys doing today?
205,4,Good.
205,5,"Good. So today we are going to review, um, some of our behavioral expectations in our classroom. Who can tell me one of the expectations that we have in class? Jayla, do you have any ideas?"
205,6,"But, um, well, I can your science if you just listen. I don't need your help. So,"
205,7,"Hey, Nina and Will. Sure. Do you have any ideas of behavioral expectations for the class?"
205,8,"Um, no talking when the teacher's talking."
205,9,That's a great expectation. Why don't we talk when the teacher's talking?
205,10,Because then everybody can't hear people get interrupted and stuff.
205,11,"Right? Should you be talking when your peers are sharing? No. No. Right? Because everybody should feel that their voice can be heard, right?"
205,12,"Oh,"
205,13,Huh.
205,14,I had a text. No.
205,15,"Okay. Emily, what's another rule that we could use in our classroom?"
205,16,"Sorry, I just got a text from my mom."
205,17,Okay. Would you mind putting your phone away please?
205,18,Sure. Sorry.
205,19,Thank you.
205,20,"Um,"
205,21,"Um,"
205,22,"People should come to class prepared,"
205,23,Come to pla class prepared. What do we need to be prepared in
205,24,"Class? Well, I can tell you all about that. I mean, I come to class prepared every day and, um, I know all the norms for what we're gonna do this year. I can give you a whole list of 'em. Do you want me to go over 'em with you?"
205,25,Carlos? What are three things that you need to bring to class every day to be prepared?
205,26,"Um, yourself. Okay. Your notebook, homework and your planner."
205,27,Those are great things. Do you need to have a positive attitude when you come to class?
205,28,"Yes, ma'am."
205,29,"Right. Because learning is fun and sometimes it's hard, but if we have positive attitude, we can get through it, right? All together, right? Jayla, do you have any new ideas of what Another behavioral expectation"
205,30,Classroom? Shut up. Mina. I'm not what you want me to
205,31,"Do. Will Mina please focus your eyes on me? Will eyes on you please. Thank you. Jayla, do you have any ideas?"
205,32,"Um, for a classroom? No."
205,33,Yes. Behavioral expectations?
205,34,"Um, everybody's gotta be kind."
205,35,"Everybody should be kind. What are the, should we be kind to each other?"
205,36,Yeah. Yeah? Yeah. What
205,37,About to ourselves
205,38,"Meant? Yeah. Oh,"
205,39,And what about to the things in our classroom? Should we be kind to our materials and take care of our things?
205,40,Yeah. Don't write on the desks. Don't put gum under the desk. Somebody always puts gum under the
205,41,"Desk, right? Don't put your gum under the desk. Don't write on the desks. Take care of of your books. Don't draw on them. Right? Make sure we put things back where they belong so that we can use them for the whole year. Can"
205,42,"We talk about my science fair project Now? Um, teacher, I wanna run my, uh, topic by you and make sure that it's okay so I can get started. Recess."
205,43,"Yeah. Carlos, I'd love to talk with you about that right before recess. Can talk one on one, okay?"
205,44,What?
205,45,"We can talk. Just me and you. Okay. Would that be good? Well, in a couple minutes once we go to recess, okay. Okay. Okay. Awesome. Mina, do you have anything else to add? Any other behavioral expectations? What is it?"
205,46,Raise?
205,47,Talk. Talk. You should raise your hand before you talk. Why is that?
205,48,Everybody gets a turn.
205,49,"Does everybody gets a turn? Right? So kind of like going back to what Will was saying about not talking over other people, right? Not talking when somebody"
205,50,Else is talking. This is boring. Why are we doing this?
205,51,"So, Jayla, we have to review our behavioral expectations because lately we haven't been listening in class and following the rules that we said at the beginning of the year. So right now we're gonna review them so that way we can move forward as a responsible, respectful classroom."
205,52,Okie dokey
205,53,"Teacher, do you agree with that?"
205,54,"Yes, ma'am."
205,55,Awesome. Does anyone have anything else to add about expectations that we have in our classroom trip?
205,56,"Okay, if"
205,57,"You, that's okay. Hey Nina. Hey Nina."
205,58,I'll help you this
205,59,Weekend since you something share. Tell us. Did this
205,60,Shut for?
205,61,Yes. What did you do this weekend?
205,62,I worked on my science fair project.
205,63,"You did awesome. Will, what did you do this weekend?"
205,64,"LL Collection. Oh, very cool. And I'm classifying on board and, um, about all the effects of the"
205,65,"I'm very excited to see that when you bring it in. That will be very cool. Thanks. Will, what did you do this weekend?"
205,66,I watched a game with my
205,67,Dad. What kind of game was it?
205,68,Basketball.
205,69,"Very cool. And, and simulation."
206,0,Begin simulation.
206,1,"Hey. Hello, my name is Mr. Swing."
206,2,Hi
206,3,There. How are you?
206,4,"Good. Good,"
206,5,"Good. How are you doing? Good, thank you. Uh, so today we're gonna go over some classroom norms that are gonna help you, uh, stay focused this year and learn to the best of your abilities. Uh, can anyone volunteer something that, uh, might help you? Uh, stay focused this year? Yes,"
206,6,"Always, uh, paying attention."
206,7,"Always paying attention. Okay. So if I'm talking, uh, what is that? How can you model that? You're paying attention to me. How can you show me that you're paying attention?"
206,8,"Well, there's better ways to pay attention. So I think that like, maybe your answer should have been something else. Um, well, let's, let's pay attention."
206,9,"Okay. But first I think a good norm in this case would be listening to each other's opinions and respecting each other's opinions. Right. And then offering your own, what, what would your advice be as far as the norm?"
206,10,"Um, I would say like, showing up on time."
206,11,"Showing up. Oh, that's good. So punctuality. Excellent. So we have punctuality, we have listening. Oh, yes. Sorry, go ahead. Sorry, go ahead, Emily."
206,12,"No, I just got a, I got a text."
206,13,"Ah, okay. So I think another norm might be to keep technology at our side, so not use technology when we don't need it. Right. Gotcha. Okay. So cell phones can be great for using, for doing research in class, but they can be really distracting at times as well. Yeah,"
206,14,"Yeah. Oh, what about, um, I don't know, uh, like extracurricular stuff, like, uh, um, so I'm like really into science. Okay. So like, if I like, wanted to have, like, if we do like a, we like breakout time where we like talk about, um, maybe like what we're interested in, like how, like chemistry specifically."
206,15,"Okay. Well, I can make sure that when we have our lessons, that we have time to talk amongst each other, but I think what you're talking about more is more of an interest, not really a norm. Alright. So, uh, what about, um, uh, yes. What?"
206,16,"Oh, no, I was just, will was yelling at"
206,17,Me. I wasn't yelling at you.
206,18,"It was just the scene. You should, so I think another norm would be to keep our conversations to a minimum, right. When I'm speaking. So your eyes should be up here, your eyes should be up here, right? Yes. Okay. So we have technology, we have listening to each other. What about, uh, respecting each other, respecting each other's opinions? I like that. Yeah. What would that include? How would you show that you're respecting someone's opinion?"
206,19,"Yeah, I think, uh, hearing them out, even if you don't like,"
206,20,Totally agree.
206,21,"Yeah, exactly. You"
206,22,"Know, listen and"
206,23,Right. So you really consciously listen to what they're saying. Right. You don't jump right away and say what you think. Right.
206,24,"Okay. Yeah. No,"
206,25,Totally. Excellent. Good job.
206,26,Hundred percent.
206,27,Okay.
206,28,"Oh, we're having a, a science fair is gonna be happening I think like around Halloween,"
206,29,"So, okay. Yeah. I don't know. Oh, excellent. Thank you for letting us know that that's not exactly what we're talking about right now. We're talking about our norms that we're coming up with together. Gotcha. Yeah. So let's stick to that topic. Okay. Okay. So that could be another norm. So let's stay on task with what we're focusing on, on at the moment. So if we're doing math, we're doing math, we're not talking about music or whatever, right? Yes."
206,30,"I just think, uh, another thing that would help us, like pay attention is it, if no one said this already mm-hmm. <affirmative>, like no cell phones and, and, and"
206,31,Like Right. We mentioned
206,32,Social media.
206,33,"Social media. Okay. So that's more specific than what we mentioned. Yeah, exactly. Yeah. So just using our cell phones for academic"
206,34,Purposes. Is this boring? Why are we doing it? I don't know why we're doing
206,35,"Well, it may seem boring now, but it'll help you later in the year, trust me, because it'll, it'll make sure that we're all learning together. We're not distracted yet. Excellent."
206,36,I
206,37,"Hear that. All right. Anyone else have any other things to offer? Um, what about raising your hand? What about raising your hand? Oh, yeah. Actually,"
206,38,"Like, always make a good effort. Is that too generic?"
206,39,"Yeah. No, that's good. I think that's something to keep in mind. It's generic. Think of a better, wait a second. Wait a second. Remember we said that our remember our norm about listening to each other? Exactly. What? And not jumping right on what people say. I'm sorry. All right. Let's respect each other's opinions. Sorry. Thank you. Sorry. Okay."
206,40,Sorry Mr.
206,41,"Sw. That's all right. Alright. All right. So all those norms, I'm gonna adhere to them too because that's important, right? That I also follow these norms. Yep. Right. All right. Excellent. Well, thank you for talking to me about this. I'm glad that we, uh, had this discussion. I think it'll be a productive year."
206,42,Cool. No problem. Bye.
207,0,And stop simulation.
207,1,"Good morning. Class. So today we're gonna go over the classroom expectations again because we, I think we need just a little reminder of those. So remember the first one we've talked about is compassion. Right? Everybody? What"
207,2,"I just did, right? Yes. Okay."
207,3,"Everyone is doing their best. Right? Every day everyone's doing their best and sometimes their best doesn't look the same as what you think their best should look like. Well, that doesn't mean that it's not their best. Yeah."
207,4,Don't interrupt when she's talking. Okay. Hi. Thank you guys. Okay.
207,5,"Um,"
207,6,"Go ahead,"
207,7,Nina.
207,8,Yes.
207,9,Thank you honey. I've got it. Okay.
207,10,Okay.
207,11,"Um, kindness. Remember we're being, we need to try to use our, uh, our most kind words to speak to each other. Yeah. That goes along with the other one."
207,12,Sorry.
207,13,"You okay, Emily?"
207,14,"Yeah. I'm sorry. Um, I'm getting texts from good people. Sorry."
207,15,"Okay. Uh, if you'd like to talk about that after class, we can do that. Okay. Oh no,"
207,16,It's alright. Just gimme a tag. Thanks. I leave you.
207,17,"Um, that goes a little bit into listening, right? We need to listen to whoever is speaking at the moment, if that's right."
207,18,"Oh, I wanted to ask, are we doing like a science fair this year? Um, cause I'm really into science fairs,"
207,19,"So. Yes. Carlos, you"
207,20,Talked science fan if you will. Mm-hmm.
207,21,"<affirmative>. Yeah, we've talked about that before, remember? Yeah. And we'll, we'll talk about that a little bit later too. I'll give you some more specifics. Okay."
207,22,"Cool. Great. Yeah, I'd love to hear about it. Cause that's my ideas, so"
207,23,"Great. I would love to hear them. Um, yes. Remember. So we're gonna listen completely to the person who's talking all the way through and, and, uh, lastly, we're here to learn, right? And if we're gonna learn, we have to do listening. Yeah. Okay, guys. Um, what did you guys, what was the best part of your weekend?"
207,24,"Um, I, uh, a museum. That's pretty cool. Oh yeah. I want to Busy natural history in New York."
207,25,Very cool.
207,26,"Dinosaurs. Such like,"
207,27,"Yes. That's awesome, Jayla. Thank you for sharing."
207,28,No problem. Love it.
207,29,What about you Emily?
207,30,"Um, I just started to watch TV and stuff."
207,31,Yeah. What do you like to watch?
207,32,"Um, like documentary about like, nature, animals. Very,"
207,33,Very cool.
207,34,"Oh, I love like, stuff about science and like science fairs. And have you thought anything about the science fair since we talked about it before?"
207,35,"Um, not in, uh, not since we last discussed it, but I promise we talk about it later. Okay,"
207,36,Cool. I have ideas.
207,37,Yes. I'm excited to hear them.
207,38,Cool.
207,39,"Uh, what about you? Mina?"
207,40,Ohk. Hi. Yeah. Bye. My dog.
207,41,Your dog?
207,42,Yeah.
207,43,Very cool. What's your dog's name?
207,44,"Um, scrappy."
207,45,Scrappy. Nice. What about you? Will?
207,46,"Um, uh, bees. I'm a big fan of bees, so, um, kind of boring. Why are we doing this?"
207,47,"I think it's nice to share about, um, each other's weekends to hear about each other's life because, you know, you all have a lot more that happens outside of school. Right. Gotcha. Your life isn't just school."
207,48,"Oh, that's a good thing. So Yes, good point. Definitely."
207,49,"Um, and so I think it also gives us a little bit of perspective to know what other people do at home. Uh, Carlos, I didn't hear what you do."
207,50,"Bees are dumb. What do you mean? Bees are dumb? Oh, Mina, these are dumb."
207,51,Mina? Yes.
207,52,"Sorry, sorry, sorry."
207,53,Does that go along with our expectations that we just talked about?
207,54,No. No.
207,55,Okay.
207,56,"Sometimes she just like likes to yell at me and stuff, so I get mad and like yell bad. So it's not a good relationship."
207,57,"Okay. Well it's understand,"
207,58,But here we are. Mm-hmm. <affirmative>.
207,59,"Yeah. Well, it's understandable to, you know, to have the, like, to get upset when other people Yeah. Um, say things that you don't agree with, but"
207,60,Yeah.
207,61,"Um, it's, it's not, we probably shouldn't handle it by telling other people how they feel and act. Right. Okay. Yeah. We just talked about things, how it makes us feel."
207,62,Right?
207,63,Right. The I statements we've talked about
207,64,"And, and simulation."
208,0,And start simulation.
208,1,Hello class.
208,2,Hi there.
208,3,Today we're gonna talk about our classroom norms that we made at the beginning of the year and go back through just to review them. Okay? So do you guys remember our first norm that we came up with together was we said that we wanted to always come to class ready to learn. Can anyone tell me what that means?
208,4,"Um, be prepared."
208,5,Great. What would it look like to be prepared for class?
208,6,"Well, answering. I don't, I don't see"
208,7,Nina. It's okay if Will doesn't answer Nina. It's okay if Will doesn't know the answer.
208,8,Okay. I'm just trying to encourage him.
208,9,Thank you.
208,10,"Sure, sure. No"
208,11,"Problem. Does anybody else have an answer? For what? Like, to be prepared."
208,12,"Um, I think maybe it needs, uh, like, you know, having your homework done and like, being ready to contribute."
208,13,"That's a great example, Carlos. Thank you. All right. Our next norm that we came up with is we said that we wanted to always listen when someone else is talking. Why did we say this was an important norm?"
208,14,"I'm getting it. Text. Sorry. Um, paying attention keeps everything kinda moving."
208,15,"Great. Emily, do you remember? Yes. What our other norm was about using technology in the classroom?"
208,16,"Um, no, I'm sorry. I get these tweet notifications. All the impeachment stuff."
208,17,There's a lot going on in the news right now. Can somebody remind Emily what we
208,18,"Made? Oh. Oh, speaking of which I wanted to see. Um, so what's, uh, your policy on like, like, um, if I wanted to have like a, like a rocket club or something like that? Great."
208,19,You wanna have a rocket club in the classroom?
208,20,"Well, not, I mean, I guess I, I just was wondering how like, extracurriculars work and if we could like, use the room and stuff like"
208,21,"That. Great. That's a great question, Carlos. Can we talk about that once we finish reviewing our classroom norms?"
208,22,"Answer will, well should push me around."
208,23,"All right. Will and Mina. If somebody has an answer, they can choose to share. Okay. We don't have to tell each other what to share. Remember our next best talks about our next norm is we said that we wanted to respect our classmates. Do you guys remember what the word respect means?"
208,24,Yes.
208,25,What does it mean Jayla?
208,26,"Um, listening. Like when other people talk, um, you know, respecting opinions. No, not touching people's stuff. Just being respectful. Great."
208,27,"Come around. Great. Those are all great examples. So when we do that, we'll make everyone feel welcome and a part of our class, right? Yeah."
208,28,Yeah.
208,29,"All right. So we, we had one more norm that we came up with. So we remember we said, not that we were going to use materials the way they're supposed to be used."
208,30,"Oh. Oh, when is the science fair? Cause like, I learned how to make this like a volcano, uh, with was it bacon, soda and like, uh, other stuff. That sounds really cool. How idea is, is my point."
208,31,"Exactly. Those are great ideas and we'll get to them as soon as we finish going through our norms. Okay? Ok. Cause remember we just talked about wanting to listen to each other and respect each other. Okay. So once we finish, we'll talk about the science fair. All right, so our last norm, we talked about using the materials the way they should be used. Can anybody give an example of what that looks like? Will, do you have any ideas? Oh, Emily."
208,32,"Well, um, maybe I, I dunno. This is boring. Why are we doing this?"
208,33,"That's a great question, Jayla. Yeah. Why are our classroom norms important? Just curious. Do you remember?"
208,34,Mm-hmm.
208,35,"<affirmative>, why is it important for us to have norms?"
208,36,"Um, well, I guess like, so we're not all running around crazy."
208,37,"Great. Yeah, that's a great reason. So I like of"
208,38,A better.
208,39,Yeah. So our last one we talked about using materials the way it should be. An example. I can give you one. I know you
208,40,"Shouldn't tell me what to do anymore. Well, you should participate more,"
208,41,More Will andina.
208,42,"Well, yeah, sorry. Yeah, yeah. All right. Sorry. Just opening up some, some old wounds over here."
208,43,Let's talk about that in a few minutes. Okay?
